aaaa,аааа：ああああ
abraziya,абразія：摩耗
abramovskyy,абрамовський：アブラモフスキーの
abramovskoho,абрамовського：アブラモフスキー
abrams,абрамс：エイブラムス
abramsa,абрамса：エイブラムス
abramtsevo,абрамцево：アブラムツェヴォ
abranskyy,абранський：アブランスキー
abrantesh,абрантеш：アブランテシュ
abrykosivskyy,абрикосівський：アブリコシフスキー
abrynes,абринес：アブリネス
abrysnyy,абрисний：輪郭の
abromavychus,абромавичус：アブロマヴィチュス
abromavychusa,абромавичуса：アブロマビチュス（姓・生格）
abromavychusom,абромавичусом：アブロマヴィチュスと
abroskin,аброськін：アブロシキン
abruptyvnyy,абруптивний：急激な
abrutstso,абруццо：アブルッツォ
abs,абс：ABS \ ABS(略語)
absenteyizm,абсентеїзм：棄権主義
absolvent,абсольвент：卒業生
absolyutyst,абсолютист：絶対主義者
absolyutnaya,абсолютная：絶対的な（ロシア語）
absorbent,абсорбент：吸収剤
absorbovanyy,абсорбований：吸収された
absorbuvannya,абсорбування：吸収
absorbuvatysya,абсорбуватися：吸収される
absorbuyuchyy,абсорбуючий：吸収する
absorbtsiynyy,абсорбційний：吸収の
abst,абст：ABST
absterho,абстерго：アブスターゴ
abstynent,абстинент：禁欲者
abstynentnyy,абстинентний：禁断症状の
abstynentsiya,абстиненція：禁断症状
abstrahovanist,абстрагованість：抽象性
abstraktnishyy,абстрактніший：より抽象的な
abstraktsiynyy,абстракційний：抽象的な
absurdyzm,абсурдизм：不条理主義
absurdystskyy,абсурдистський：不条理主義の
absurdnishe,абсурдніше：より不条理に
abstsysa,абсциса：横座標
abu,абу：アブ
abubakar,абубакар：アブバカル
abudzha,абуджа：アブジャ
abkhimanyu,абхіманью：アビマニュ
abshyt,абшит：跳躍
abshytovanyy,абшитований：裏打ちされた
abshnit,абшніт：アブシュニット \ アブシント
abyan,абьян：アビヤン（地名）
abihayl,абігайль：アビゲイル
abiheyl,абігейл：アビゲイル
abidal,абідаль：アビダル
abidos,абідос：アビドス
abidosa,абідоса：アビドス
abilitatsiya,абілітація：能力開発
abinskyy,абінський：アビンスキー
abiohenez,абіогенез：生命発生
abiohennyy,абіогенний：非生物起源の
abiotychnyy,абіотичний：非生物的な
abisal,абісаль：深海の
abisalnyy,абісальний：深海の
abisynska,абісинська：アビシニアの
abisynskyy,абісинський：アビシニアの
abissynskyy,абіссинський：アビシニアの
abisha,абіша：アビシャ
av,ав：AV
ava,ава：アバター
avad,авад：アワド（姓）
avadkhi,авадхі：アワディー語
avakovskyy,аваковський：アヴァコフの
avakivskyy,аваківський：アヴァキフの
avalanch,аваланч：アバランチ
avalon,авалон：アヴァロン
aval,аваль：アバル（銀行）
avalnyy,авальний：保証の
avalovanyy,авальований：保証された
avalyuvannya,авалювання：なだれ
avalist,аваліст：アバリスト
avamorya,аваморя：アヴァ海
avamori,аваморі：アワモリ
avami,авамі：アワミ
avanhardovyy,авангардовий：前衛的な
avanzal,аванзал：前室
avanport,аванпорт：外港
avanproekt,аванпроект：予備計画
avanproyekt,аванпроєкт：予備プロジェクト
avansuvannya,авансування：前払い
avansuvatysya,авансуватися：前払いされる
avant,авант：アバン（前衛）
avantazh,авантаж：アドバンテージ
avantura,авантура：冒険
avanturnyy,авантурний：冒険的な
avantyuryn,авантюрин：アベンチュリン
avantyurystskyy,авантюристський：冒険主義の
avantyurnist,авантюрність：冒険性
avangard,аванґард：前衛
avangardnyy,аванґардний：前衛的な
avaryy,аварии：事故（ロシア語）
avaryya,авария：事故
avarka,аварка：アワール人女性
avariyka,аварійка：非常灯
avariyno,аварійно：緊急に
avatar,аватар：アバター
avatarka,аватарка：アバター \ アバター画像
avatarky,аватарки：アバター画像（複数）
avatarok,аватарок：アバター（複数形）
avash,аваш：アヴァシュ
avv,авв：AVV（略語） \ アブ
avva,авва：アッバ
avvyy,аввий：アッバ
avvo,"авво：しかし,ただし"
avh,авг：8月
avhust,август：8月
avhustynets,августинець：アウグスティヌス会修道士
avhustynskyy,августинський：アウグスティヌスの
avhustian,августіан：アウグスティヌス修道士
avhustiani,августіані：アウグスティヌス会修道士
avhustivskyy,августівський：アウグストフの
avhiyevyy,авгієвий：アウゲイアスの
avhiyiv,авгіїв：アウゲイアスの
avdelinh,авделінг：アヴデリング
avdet,авдет：アヴデト
avdytor,авдитор：監査人(古語形)
avdytoriya,авдиторія：聴衆
avdiyensiya,авдієнсія：謁見
avdiyentsiya,авдієнція：謁見
avdiyivskyy,авдіївський：アヴディイフカの
ave,аве：アヴェ
avedikyan,аведікян：アヴェディキャン
avek,авек：アヴェック
avellum,авеллум：アヴェッルム
avellino,авелліно：アヴェッリーノ
avelyaneda,авельянеда：アベジャネダ(地名)
aveo,авео：アベオ（車種）
averbakh,авербах：アヴェルバハ(人名)
avers,аверс：表面
aversa,аверса：アヴェルサ(地名)
aversy,аверси：アヴェルシ
aversyvnyy,аверсивний：嫌悪の
aversnyy,аверсний：表面の
avest,авест：アヴェスト
avesty,авести：アヴェスター
avetysyan,аветисян：アヴェティシャン（固有名詞）
avetysyaniv,аветисянів：アヴェティシャン
avesh,авеш：アヴェシュ
avyakompanyy,авиакомпании：航空会社
avyalynyy,авиалинии：航空会社
avyanesushchye,авианесущие：航空母艦（ロシア語）
avyanostsev,авианосцев：空母
avyanostsety,авианосцети：空母（ロシア語）
avyapolka,авиаполка：航空連隊
avyastroytelnaya,авиастроительная：航空機製造（ロシア語）
avyatsy,авиаци：航空（古い形）
avyatsyy,авиации：航空（ロシア語）
avyatsyonnaya,авиационная：航空の（ロシア語）
avyatsyonnyy,авиационний：航空の（ロシア語綴り）
avyatsyya,авиация：航空
avyy,авий：#NAME?
avk,авк：AVK（略語）
avkolo,авколо：周りに
avl,авл：AVL
avlakohen,авлакоген：オーラコゲン
avlopopodibnyy,авлопоподібний：アウロス様の
avlos,авлос：アウロス（古代ギリシャの楽器）
avlita,авліта：アヴリタ
avo,аво：アボ
avokadovyy,авокадовий：アボカドの
avos,авось：多分（ロシア語）
avosk,авоськ：ネット袋
avoska,авоська：ネットバッグ \ 買い物袋
avosky,авоськи：買い物袋
avoskyy,авоський：アヴォシカ（買い物袋・形容詞） \ アヴォシカ（買い物袋）
avoskiy,авоській：アヴォシカ（買い物袋）
avraamichnyy,авраамічний：アブラハム宗教の
avralno,аврально：緊急に
avramivskyy,аврамівський：アブラハムの
avramichnyy,аврамічний：アブラハム宗教の
avratynskyy,авратинський：アヴラティンスキーの
avreolya,авреоля：オーレオラ
avroralnyy,авроральний：オーロラの
avrory,аврори：オーロラ
avril,авріл：4月
avs,авс：ABC(略)
avstr,австр：オーストリア人
avstraziyskyy,австразійський：オーストラレーシア
avstraloyidnyy,австралоїдний：オーストラロイドの
avstraliyka,австралійка：オーストラリア人女性
avstro,австро：オーストロ
avstroaziyskyy,австроазійський：オーストロアジア語族の
avstrovyy,австровий：オーストリアの
avstromarksyzm,австромарксизм：オーストロマルクス主義
avstroneziyskyy,австронезійський：オーストロネシアの
avstroneziyets,австронезієць：オーストロネシア人
avstrouhorskyy,австроугорський：オーストリア・ハンガリーの
avstriyak,австріяк：オーストリア人
avstriyatskyy,австріяцький：オーストリアの
avstriyachka,австріячка：オーストリア女性
avtarkichnyy,автаркічний：自給自足の
avtagemi,автаґемі：アウタゲミ
avtek,автек：アヴテク(会社名)
avtentyka,автентика：オーセンティック
avtentyfikator,автентифікатор：認証装置
avtentyfikatsiynyy,автентифікаційний：認証の
avtentyfikatsiya,автентифікація：認証
avtentyfikovanyy,автентифікований：認証された
avtentyfikuvaty,автентифікувати：認証する
avtentychno,автентично：本物らしく
avtoavariya,автоаварія：自動車事故
avtoahrehat,автоагрегат：自動車ユニット
avtoahrehatnyy,автоагрегатний：自動車ユニットの
avtoakademiya,автоакадемія：自動車アカデミー
avtoamator,автоаматор：自動車愛好家
avtoantytilo,автоантитіло：自己抗体
avtoart,автоарт：オートアート
avtob,автоб：自動車（略）
avtobazar,автобазар：自動車市場
avtoban,автобан：アウトバーン
avtobat,автобат：自動車大隊
avtobatalyon,автобатальйон：自動車大隊
avtobenzyn,автобензин：自動車用ガソリン
avtobereh,автоберег：自動車保護
avtobetonozmishuvach,автобетонозмішувач：コンクリートミキサー車
avtobyohrafyya,автобиография：自伝（ロシア語）
avtobloher,автоблогер：自動車ブロガー
avtoblokuvannya,автоблокування：自動閉塞
avtobot,автобот：オートボット
avtobrend,автобренд：自動車ブランド
avtobronovyy,автоброньовий：装甲車の
avtobudynok,автобудинок：自動車ハウス
avtobuduvannya,автобудування：自動車建設
avtobudivnyy,автобудівний：自動車製造の
avtobudivnyk,автобудівник：自動車製造業者
avtobusobuduvannya,автобусобудування：バス製造
avtobusobudivnyy,автобусобудівний：バス製造の
avtobiznes,автобізнес：自動車ビジネス
avtobiohrafizm,автобіографізм：自伝性
avtobiohrafichnist,автобіографічність：自伝性
avtovaha,автовага：自動計量機
avtovaza,автоваза：アフトヴァズ
avtovazom,автовазом：アフトヴァズ
avtovezha,автовежа：自動車塔
avtovykradach,автовикрадач：自動車盗
avtovykradennya,автовикрадення：自動車盗難
avtovyrobnyk,автовиробник：自動車メーカー
avtovyrobnytstvo,автовиробництво：自動車生産
avtovystavka,автовиставка：自動車展示会
avtovyshka,автовишка：高所作業車
avtovo,автово：アフトヴォ
avtovodiy,автоводій：運転手
avtoviz,автовіз：自動車運搬車
avtohaz,автогаз：自動車用ガス
avtohazozapravnyy,автогазозаправний：ガス充填の
avtohaluz,автогалузь：自動車産業
avtohalmivnyy,автогальмівний：自動制動の
avtoharazh,автогараж：車庫
avtoharazhnyy,автогаражний：自動車ガレージの
avtoharant,автогарант：自動車保証
avtohenerator,автогенератор：発振器
avtohenetychnyy,автогенетичний：自生的な
avtohol,автогол：オウンゴール
avtohonets,автогонець：レーサー
avtohony,автогони：カーレース
avtohonka,автогонка：カーレース
avtohonochnyy,автогоночний：自動車レースの
avtohonshchyk,автогонщик：レーサー
avtohonshchytsya,автогонщиця：レーサー（女性）
avtohra,автогра：オートグラフ（省略形）
avtohrad,автоград：自動車都市
avtohrazhdanka,автогражданка：自動車民事保険
avtohreyder,автогрейдер：モーターグレーダー
avtohrupa,автогрупа：自動車グループ
avtohudronator,автогудронатор：アスファルト舗装機
avtohuma,автогума：自動車用タイヤ
avtohihant,автогігант：自動車大手
avtodetal,автодеталь：自動車部品
avtodydakt,автодидакт：独学者
avtodyzel,автодизель：ディーゼル自動車
avtodyler,автодилер：自動車ディーラー
avtodozvon,автодозвон：自動ダイヤル
avtodozvil,автодозвіл：自動車許可証
avtodozor,автодозор：自動車パトロール
avtodopovnennya,автодоповнення：自動補完
avtodor,автодор：アフトドール
avtodora,автодора：アフトドーラ
avtodory,автодори：自動車道路
avtodoroha,автодорога：高速道路
avtodorozhnyy,автодорожний：自動車道の \ 自動車道路の
avtodorozhnyk,автодорожник：道路建設作業員
avtodoru,автодору：自動車道路
avtodorivets,автодорівець：自動車道路作業員
avtodorivtsya,автодорівця：道路労働者
avtodrabyna,автодрабина：はしご車
avtodrayv,автодрайв：オートドライブ
avtodrezyna,автодрезина：軌道自動車
avtodim,автодім：自動車館
avtoekzotyk,автоекзотик：自動車エキゾチック
avtoekspert,автоексперт：自動車専門家
avtoeksport,автоекспорт：自動車輸出
avtoelektronnyy,автоелектронний：自動電子の
avtoenterprayz,автоентерпрайз：オートエンタープライズ
avtozhyr,автожир：オートジャイロ
avtozhurnalist,автожурналіст：自動車ジャーナリスト
avtozavantazhennya,автозавантаження：自動読み込み
avtozavodets,автозаводець：自動車工場労働者
avtozahar,автозагар：セルフタンニング
avtozak,автозак：護送車
avtozapovnennya,автозаповнення：自動入力
avtozapravnyk,автозаправник：給油所員
avtozapravochnyy,автозаправочний：ガソリンスタンドの
avtozapusk,автозапуск：自動起動
avtozapchastyna,автозапчастина：自動車部品
avtozasmaha,автозасмага：日焼け止め
avtozator,автозатор：自動締め器
avtozberezhennya,автозбереження：自動保存
avtozbyralnyy,автозбиральний：自動組立の
avtozvalyshche,автозвалище：自動車廃棄場
avtozvuk,автозвук：自動車音響
avtozlodiy,автозлодій：自動車泥棒
avtozupynka,автозупинка：バス停
avtozcheplennya,автозчеплення：自動連結器
avtozitknennya,автозіткнення：自動車衝突
avtokanal,автоканал：自動車チャンネル
avtokapital,автокапітал：自動車資本
avtokar,автокар：バス
avtokaravan,автокараван：キャンピングカー
avtokataliz,автокаталіз：自己触媒
avtokatalitychnyy,автокаталітичний：自触媒の
avtokatafalk,автокатафалк：霊柩車
avtokafe,автокафе：ドライブインカフェ
avtokvest,автоквест：オートクエスト
avtokempinh,автокемпінг：オートキャンプ
avtokeruvannya,автокерування：自動制御
avtokefal,автокефаль：独立教会
avtokefalnist,автокефальність：独立性
avtokefalist,автокефаліст：独立教会派
avtoklav,автоклав：オートクレーブ
avtoklavnyy,автоклавний：オートクレーブの
avtoklavuvannya,автоклавування：オートクレーブ処理
avtoklub,автоклуб：自動車クラブ
avtokoduvalnyk,автокодувальник：オートエンコーダー
avtokolyvalnyy,автоколивальний：自己振動の
avtokolyvannya,автоколивання：自動振動
avtokoma,автокома：自動車会社
avtokomanda,автокоманда：自動車チーム
avtokompaniya,автокомпанія：自動車会社
avtokompleks,автокомплекс：自動車施設
avtokomplekt,автокомплект：自動車セット
avtokomplektuyuchi,автокомплектуючі：自動車部品
avtokomponent,автокомпонент：自動車部品
avtokonsaltynh,автоконсалтинг：自動車コンサルティング
avtokonstruktor,автоконструктор：自動車設計者
avtokontsern,автоконцерн：自動車コンツェルン
avtokontsert,автоконцерт：ドライブインコンサート
avtokooperatyv,автокооператив：自動車協同組合
avtokorelyatsiynyy,автокореляційний：自己相関の
avtokorelyatsiya,автокореляція：自己相関
avtokorporatsiya,автокорпорація：自動車会社
avtokortezh,автокортеж：車列
avtokosmetyka,автокосметика：自動車化粧品
avtokradizhka,автокрадіжка：自動車窃盗
avtokradiy,автокрадій：自動車泥棒
avtokraz,автокраз：アフトクラズ（自動車メーカー）
avtokrazbank,автокразбанк：アフトクラズバンク
avtokramnytsya,автокрамниця：自動車店
avtokranovyy,автокрановий：クレーン車の
avtokratyzm,автократизм：独裁主義
avtokrator,автократор：独裁者
avtokredyt,автокредит：自動車ローン
avtokredytuvannya,автокредитування：自動車ローン
avtokros,автокрос：オートクロス
avtokrislo,автокрісло：チャイルドシート
avtokinoteatr,автокінотеатр：ドライブインシアター
avtokiosk,автокіоск：自動キオスク
avtolavka,автолавка：移動販売車
avtolayf,автолайф：オートライフ
avtolehenda,автолегенда：自動車の伝説
avtolohichnyy,автологічний：自己言及的な
avtolyubytelka,автолюбителька：自動車愛好家（女性）
avtolyuks,автолюкс：オートリュクス
avtoliz,автоліз：自己融解
avtolizynh,автолізинг：自動車リース
avtolik,автолік：自動車病院
avtolitohrafiya,автолітографія：オートリトグラフィー
avtomahazyn,автомагазин：自動車店
avtomahnat,автомагнат：自動車王
avtomahnitola,автомагнітола：カーオーディオ
avtomahistralnyy,автомагістральний：高速道路の
avtomaydan,автомайдан：アフトマイダン
avtomaydanchyk,автомайданчик：自動車広場
avtomaydanivets,автомайданівець：ユーロマイダン活動家
avtomayster,автомайстер：自動車修理工
avtomaysternya,автомайстерня：自動車修理工場
avtomama,автомама：車ママ
avtomara,автомара：車のブランド
avtomarka,автомарка：自動車ブランド
avtomarshrut,автомаршрут：自動車ルート
avtomasshtabuvannya,автомасштабування：自動スケーリング
avtomatyzatsyy,автоматизации：自動化（ロシア語）
avtomatyzatsyya,автоматизация：自動化
avtomatyzmy,автоматизми：自動症
avtomatyzuvatysya,автоматизуватися：自動化される
avtomatycheskyy,автоматический：自動の \ 自動的な
avtomatov,автоматов：自動機械(複数形属格)
avtomaton,автоматон：自動人形
avtomatchyk,автоматчик：自動小銃兵
avtomekhanichnyy,автомеханічний：自動車整備の
avtomyyka,автомийка：洗車場
avtomyynyk,автомийник：洗車場
avtomyr,автомир：自動車世界
avtomobyla,автомобила：自動車
avtomobyle,автомобиле：自動車（呼格）
avtomobyley,автомобилей：自動車の
avtomobyl,автомобиль：自動車（ロシア語）
avtomobylya,автомобиля：自動車（ロシア語）
avtomobyli,автомобилі：自動車（ロシア語）
avtomobyty,автомобити：自動車
avtomobli,автомоблі：自動車（綴り誤り）
avtomobilebudivnyk,автомобілебудівник：自動車製造業者
avtomobilevyrobnyk,автомобілевиробник：自動車メーカー
avtomobiley,автомобілей：自動車（ロシア語）
avtomobilekorystuvannya,автомобілекористування：自動車使用
avtomobilerozvantazhuvach,автомобілерозвантажувач：自動車荷降ろし機
avtomobiletsentrychnyy,автомобілецентричний：自動車中心の
avtomobilchyk,автомобільчик：小さな車
avtomobili,автомобілі：自動車
avtomobilizatsiya,автомобілізація：自動車化
avtomobilistka,автомобілістка：女性ドライバー
avtomodel,автомодель：自動車モデル
avtomodelnyy,автомодельний：自動車模型の
avtomodelyuvannya,автомоделювання：自動車モデリング
avtomodelist,автомоделіст：自動車模型愛好家
avtomorfnyy,автоморфний：自己同型の
avtomorfizm,автоморфізм：自己同型
avtomotlokh,автомотлох：自動車スクラップ
avtomotodrom,автомотодром：自動車レース場
avtomotoklub,автомотоклуб：自動車クラブ
avtomotornyy,автомоторний：自動車の
avtomotosport,автомотоспорт：自動車モータースポーツ
avtomototransport,автомототранспорт：自動車オートバイ輸送
avtomototransportnyy,автомототранспортний：自動車オートバイ輸送の
avtomotrysa,автомотриса：気動車
avtomist,автоміст：高架道路
avtomistechko,автомістечко：自動車町
avtomistse,автомісце：駐車スペース
avton,автон：自治(略語)
avtona,автона：アウトナ（人名/企業名）
avtonalashtuvannya,автоналаштування：自動調整
avtonayizd,автонаїзд：自動車事故
avtonovynka,автоновинка：自動車ニュース
avtonoma,автонома：自治
avtonomer,автономер：車両ナンバー
avtonomyy,автономии：自治(ロシア語)
avtonomka,автономка：自治(口語)
avtonomno,автономно：自律的に
avtonomnomho,автономномго：自治の（誤記）
avtonomizm,автономізм：自治主義
avtonomizovanyy,автономізований：自治化された
avtonomizuvaty,автономізувати：自治化する
avtonomizuvatysya,автономізуватися：自治化する
avtonomistychnyy,автономістичний：自治主義の
avtonim,автонім：オートニム
avtopavilyon,автопавільйон：自動車パビリオン
avtopalyvo,автопаливо：自動車燃料
avtopalyvozapravnyky,автопаливозаправники：給油車(複数形)
avtopantsyrnyy,автопанцирний：自動装甲の
avtopantsyrnyk,автопанцирник：装甲車
avtoparkovyy,автопарковий：駐車場の
avtoparkovka,автопарковка：駐車場
avtoparkinh,автопаркінг：駐車場
avtopasazhyrskyy,автопасажирський：自動車旅客の
avtopatrul,автопатруль：自動車パトロール
avtoperevezennya,автоперевезення：自動車運送
avtopereviznyk,автоперевізник：自動車運送業者
avtoperehony,автоперегони：カーレース
avtopereklad,автопереклад：自動翻訳
avtoperekhid,автоперехід：自動車横断歩道
avtoplan,автоплан：自動車計画
avtoplaneta,автопланета：オートプラネット
avtoplatforma,автоплатформа：自動車プラットフォーム
avtopodorozh,автоподорож：自動車旅行
avtopodiya,автоподія：オートポディア
avtopolyv,автополив：自動灌漑
avtopolihon,автополігон：自動車試験場
avtoport,автопорт：自動車港
avtoportal,автопортал：自動車ポータル
avtoporushnyk,автопорушник：交通違反者
avtoposluhy,автопослуги：自動車サービス
avtopotyah,автопотяг：列車
avtopotik,автопотік：自動車流
avtopryhoda,автопригода：交通事故
avtoprychip,автопричіп：トレーラー
avtoprodazh,автопродаж：自動車販売
avtoproduktsiya,автопродукція：自動車製品
avtoprokat,автопрокат：レンタカー
avtoprom,автопром：自動車産業
avtopromyslovets,автопромисловець：自動車産業家
avtopromyslovyy,автопромисловий：自動車産業の
avtopromyslovist,автопромисловість：自動車産業
avtoproyizd,автопроїзд：自動車通行
avtopidyomnyk,автопідйомник：カーリフト
avtopidpryyemstvo,автопідприємство：自動車企業
avtopidkhid,автопідхід：自動アプローチ
avtopidiymach,автопідіймач：自動車リフト
avtopilotovanyy,автопілотований：自動操縦の
avtopilotuvannya,автопілотування：自動操縦
avtor-uporyad,автор-упоряд：著者・編集者
avtoradio,авторадіо：アフトラジオ
avtoradiometrychnyy,авторадіометричний：オートラジオメトリックの
avtorevyu,авторевю：アフトレヴュー
avtorehresiynyy,авторегресійний：自己回帰の
avtorehresiya,авторегресія：自己回帰
avtoremzavod,авторемзавод：自動車修理工場
avtoremont,авторемонт：自動車修理
avtoref,автореф：AVTOREF（略語） \ 著者抄録
avtorefryzherator,авторефрижератор：冷蔵トレーラー
avtoreyestrator,автореєстратор：ドライブレコーダー
avtoryza,авториза：認証
avtoryzatsiynyy,авторизаційний：認証の
avtoryzuvatysya,авторизуватися：認証される
avtoryksha,авторикша：オートリキシャ
avtorynok,авторинок：中古車市場
avtorytaryzm,авторитаризм：権威主義
avtorytaryst,авторитарист：権威主義者
avtorytarno,авторитарно：権威主義的に
avtorytarnishyy,авторитарніший：より権威主義的な
avtorov,авторов：著者の \ 著者の（ロシア語）
avtorova,авторова：著者の
avtorozlyvnyy,авторозливний：自動瓶詰めの
avtorozpodil,авторозподіл：著者分配
avtorota,авторота：オートローテーション
avtorotatsiya,авторотація：オートローテーション
avtorskaya,авторская：著者の
avtorskyy,авторский：著者の \ 著者の（ロシア語）
avtorski,авторські：著者の
avtorukh,авторух：自動車運動
avtosayt,автосайт：自動車サイト
avtosamoskyd,автосамоскид：ダンプトラック
avtosamit,автосаміт：自動車サミット
avtosanitarnyy,автосанітарний：医療車両の
avtosvit,автосвіт：自動車界
avtoservisnyy,автосервісний：自動車サービスの
avtosyhnalizatsiya,автосигналізація：カーアラーム
avtosymulyator,автосимулятор：自動車シミュレーター
avtoskaner,автосканер：自動スキャナー
avtoskladalnyy,автоскладальний：自動組立の
avtosklo,автоскло：自動車ガラス
avtoslalom,автослалом：オートスラローム
avtosotnya,автосотня：自動車中隊
avtosoyuz,автосоюз：自動車連盟
avtospetsprom,автоспецпром：自動車特殊産業
avtospetspromu,автоспецпрому：自動車特殊産業
avtospoluchennya,автосполучення：自動車交通
avtosportyvnyy,автоспортивний：モータースポーツの
avtosportsmen,автоспортсмен：モータースポーツ選手
avtospusk,автоспуск：セルフタイマー
avtostantsiynyy,автостанційний：バスターミナルの
avtostat,автостат：自動統計
avtostereohram,автостереограм：オートステレオグラム
avtostereotyp,автостереотип：自己ステレオタイプ
avtostyl,автостиль：オートスタイル
avtostoper,автостопер：ヒッチハイカー
avtostopnyy,автостопний：ヒッチハイクの
avtostopnyk,автостопник：ヒッチハイカー
avtostradnyy,автострадний：高速道路の
avtostrakhovyk,автостраховик：自動車保険会社
avtostrakhovka,автостраховка：自動車保険
avtostrakhuvannya,автострахування：自動車保険
avtostroy,автострой：自動車建設
avtosuprovid,автосупровід：自動追尾
avtotak,автотак：自動車タクシー
avtotest,автотест：自動テスト
avtotekhnolohiya,автотехнологія：自動技術
avtotekhnika,автотехніка：自動車技術
avtotekhnichnyy,автотехнічний：自動車技術の
avtotekhservis,автотехсервіс：自動車技術サービス
avtotovary,автотовари：自動車商品
avtotovaroznavchyy,автотоварознавчий：自動車商品学の
avtotomiya,автотомія：自切
avtotor,автотор：アフトトール
avtotraktornyy,автотракторний：自動車トラクターの
avtotrans,автотранс：自動車輸送
avtotransportnyk,автотранспортник：自動車運輸業者
avtotransservis,автотранссервіс：自動車輸送サービス
avtotransformator,автотрансформатор：単巻変圧器
avtotreyder,автотрейдер：オートトレーダー
avtotreyler,автотрейлер：トレーラー
avtotrek,автотрек：カーレース場
avtotrofy,автотрофи：独立栄養生物
avtotroshcha,автотроща：自動車事故
avtotunel,автотунель：自動車トンネル
avtoturyzm,автотуризм：オートツーリズム
avtotyahach,автотягач：トラクター
avtouhon,автоугон：自動車盗難
avtoupravlinnya,автоуправління：自動制御
avtofabryka,автофабрика：自動車工場
avtofahiy,автофагій：オートファジー
avtofahiya,автофагія：オートファジー
avtofokus,автофокус：オートフォーカス
avtofokusnyy,автофокусний：オートフォーカスの
avtofokusuvannya,автофокусування：オートフォーカス
avtoforum,автофорум：自動車フォーラム
avtofront,автофронт：自動車戦線
avtofiksatsiya,автофіксація：自動固定
avtokhab,автохаб：自動車ハブ
avtokham,автохам：暴走ドライバー
avtokhamstvo,автохамство：運転マナーの悪さ
avtokhvylya,автохвиля：自動車波
avtokhlibozavod,автохлібозавод：自動車パン工場
avtokhoriya,автохорія：自然散布
avtokhtonnist,автохтонність：先住性
avtokhimiya,автохімія：自動車化学
